id,type,size,locality,price
0,3,74,10,16000
1,1,27,3,12000
2,6,112,5,22884
3,8,148,5,30353
4,8,142,5,29220
5,1,40,9,11400
6,3,54,6,14000
7,3,89,9,23000
8,3,53,6,17500
9,3,54,4,14495
10,7,76,10,19500
11,3,50,10,17000
12,6,130,0,35000
13,6,98,2,33500
14,1,44,2,18000
15,4,65,8,15900
16,8,157,0,45000
17,9,167,0,50000
18,1,31,4,10000
19,3,45,4,14200
20,7,135,2,53000
21,5,213,4,27000
22,4,72,3,19900
23,3,44,0,13500
24,4,64,6,14500
25,4,75,2,18500
26,7,185,5,36200
27,1,30,5,11000
28,1,11,5,7000
29,1,38,4,10800
30,1,33,4,14000
31,3,36,1,16500
32,1,21,7,10000
33,3,50,0,14000
34,5,95,0,22000
35,3,40,4,12900
36,12,40,9,13500
37,5,79,3,19500
38,9,153,10,24000
39,4,49,4,12900
40,5,100,5,21000
41,6,83,3,24000
42,1,45,5,10000
43,3,55,7,15000
44,1,35,9,14000
45,3,90,4,18900
46,3,50,4,15500
47,1,26,10,9900
48,3,53,10,14500
49,6,67,4,17200
50,1,46,4,14000
51,3,50,10,12500
52,3,55,10,18700
53,3,60,10,13500
54,1,35,0,12900
55,7,135,0,53000
56,4,121,5,33000
57,7,180,5,58250
58,5,70,6,22000
59,3,64,5,20000
60,6,85,6,23000
61,3,53,2,20500
62,3,45,5,19000
63,4,72,3,22800
64,3,61,7,17500
65,3,72,10,19000
66,7,140,2,45000
67,5,72,2,29500
68,3,59,0,14000
69,4,48,5,16000
70,3,46,9,13000
71,4,93,0,22000
72,6,80,0,20000
73,5,116,3,54805
74,6,73,1,36400
75,5,173,5,33000
76,2,32,8,11500
77,7,135,3,92964
78,11,19,10,5600
79,3,80,6,18000
80,3,54,5,20000
81,1,40,10,13990
82,5,51,3,19000
83,3,37,3,14500
84,2,40,10,10000
85,5,65,5,19000
86,3,50,5,14500
87,5,58,6,16000
88,4,59,5,12900
89,3,55,0,16990
90,5,84,6,29000
91,7,135,3,92800
92,1,28,3,15800
93,3,65,6,18000
94,5,85,5,30000
95,5,55,5,16000
96,3,90,3,39952
97,2,46,0,11000
98,1,40,3,14900
99,5,87,2,45000
100,5,76,5,24500
101,7,97,10,29900
102,5,64,10,22900
103,3,56,3,17900
104,8,153,6,62000
105,1,41,5,19000
106,7.0,182.0,4.0,
107,1,53,6,14500
108,3,68,1,40000
109,5,84,6,29000
110,10,188,1,75000
111,3,68,9,17000
112,8,152,6,48000
113,3,42,2,20880
114,4,85,6,27000
115,6,96,1,45000
116,10,225,10,55000
117,5,85,5,18000
118,3,45,7,16000
119,3,90,6,25000
120,7,140,3,119855
121,3,62,5,16000
122,1,35,9,13900
123,3,68,2,22500
124,4,57,4,14000
125,5,95,4,20000
126,3,56,5,15500
127,3,64,5,19000
128,1,46,10,14000
129,1,38,4,15900
130,3,72,4,20000
131,3,64,4,17000
132,1,20,9,11000
133,1,26,2,9000
134,2,37,5,18000
135,4,85,0,19975
136,4,56,10,12500
137,3,50,10,13500
138,6,85,5,18000
139,4,55,4,16000
140,3,43,5,13000
141,4,50,8,13000
142,3,50,4,12500
143,3,46,10,13500
144,3,44,4,12800
145,4,80,2,22000
146,4,63,1,23780
147,3,40,7,13000
148,4,85,5,17132
149,5,95,5,18775
150,5,75,5,14874
151,4,80,5,15759
152,3,45,2,17000
153,5,73,1,36400
154,3,57,9,14000
155,1,30,0,13000
156,4,48,0,15500
157,3,54,6,14000
158,2,34,6,10000
159,2,34,6,9500
160,1,22,10,11500
161,5,68,7,24000
162,1,35,8,15000
163,2,32,10,12500
164,6,98,2,33500
165,6,110,1,37000
166,5,106,0,38000
167,6,122,1,31000
168,2,40,2,11000
169,8,93,5,19500
170,5,142,7,25000
171,12,140,5,27000
172,1,30,10,10500
173,3,50,7,16000
174,3,48,4,19000
175,3,68,10,14000
176,1,30,9,11000
177,1,28,0,9990
178,4,50,10,15000
179,3,48,5,14500
180,4,39,8,13500
181,1,29,4,11500
182,5,92,7,21000
183,1,38,10,13000
184,12,102,5,35000
185,4,43,7,13000
186,3,70,4,17600
187,4,55,8,16000
188,4,67,1,18900
189,3,42,5,14200
190,3,39,4,12900
191,3,39,4,14500
192,2,39,5,13500
193,1,40,9,11500
194,2,35,10,10000
195,1,17,8,9000
196,5,101,3,22000
197,3,69,3,12000
198,3,43,8,12500
199,3,59,4,21000
200,2,38,0,14000
201,5,116,3,54800
202,3,90,3,39800
203,5,63,0,18500
204,3,53,0,16900
205,4,55,9,13000
206,2,42,10,11000
207,3,43,8,12000
208,3,42,9,13500
209,1,34,4,13000
210,4,62,10,17600
211,1,45,5,13000
212,3,66,10,17500
213,12,150,0,50000
214,3,47,9,17000
215,1,38,10,14000
216,1,42,8,14500
217,5,91,2,23000
218,4,63,8,18000
219,6,98,2,33500
220,4,73,6,16000
221,4,56,2,19900
222,3,52,5,19000
223,4,77,7,16000
224,2,55,5,14360
225,3,51,0,16990
226,1,34,10,17000
227,4,75,0,21000
228,3,40,2,15500
229,4,64,1,27000
230,4,43,4,12000
231,5,81,5,18000
232,3,49,8,14000
233,3,55,9,14000
234,5,75,6,21000
235,1,30,9,12500
236,3,48,6,15500
237,3,52,4,15000
238,4,55,0,15000
239,4,70,10,15900
240,3,41,2,30000
241,4,71,2,35000
242,7,100,4,30000
243,3,57,5,17500
244,5,106,10,38000
245,12,352,4,80000
246,4,80,1,54000
247,1,51,2,18500
248,5,95,1,39000
249,5,102,1,30000
250,3,98,4,18500
251,5,140,2,45500
252,3,104,5,43000
253,6,118,1,53000
254,7,139,3,119800
255,3,58,5,15500
256,3,47,10,12500
257,3,65,5,15000
258,3,64,7,17900
259,8,146,6,35000
260,4,66,5,16500
261,5,101,3,33000
262,7,184,2,50000
263,6,80,3,22000
264,7,123,5,30000
265,7,104,5,26000
266,1,33,5,13500
267,3,55,5,16500
268,5,90,4,24000
269,5,65,0,21000
270,6,80,0,20000
271,5,60,0,20000
272,7,136,0,25000
273,5,105,0,35000
274,4,44,4,12500
275,3,48,9,19000
276,9,240,7,69800
277,3,49,9,15000
278,3,43,3,10900
279,1,30,10,13000
280,3,45,10,14000
281,5,118,5,49000
282,3,57,10,16000
283,4,53,4,14000
284,11,14,5,7000
285,3,45,5,14500
286,3,50,8,14000
287,8,90,1,30000
288,2,35,1,16000
289,1,35,4,11500
290,3,36,4,13500
291,4,52,6,17900
292,3,44,4,13500
293,3,50,3,13000
294,3,55,2,15000
295,5,54,3,19000
296,3,44,5,13000
297,6,84,5,18000
298,2,40,3,15000
299,3,45,5,12500
300,1,28,10,12000
301,7,173,3,139800
302,4,55,5,10500
303,3,59,9,17000
304,6,80,9,17000
305,5,90,6,22000
306,5,78,10,16000
307,1,32,9,11000
308,7,81,2,21000
309,1,40,9,11000
310,3,85,5,14900
311,3,32,3,13600
312,3,56,5,13500
313,7,120,1,29000
314,12,95,9,20000
315,4,58,4,13400
316,3,67,3,20000
317,3,61,10,17000
318,4,64,1,23000
319,5,98,10,36000
320,5,86,2,27000
321,,280,2,89000
322,3,61,3,27000
323,5,109,9,25000
324,8,148,1,33000
325,1,36,6,14000
326,1,30,0,11000
327,2,41,5,12000
328,4,80,2,22000
329,3,49,5,20000
330,3,54,5,20000
331,5,68,4,15500
332,1,30,0,12000
333,5,64,4,15000
334,6,107,2,38000
335,3,44,5,15000
336,6,74,6,17000
337,3,163,5,17000
338,3,45,10,11500
339,1,39,8,12900
340,3,51,10,18000
341,1,22,8,8000
342,1,44,4,14590
343,3,48,3,12500
344,6,136,10,33000
345,10,130,6,41000
346,3,57,8,17200
347,3,66,2,22000
348,3,120,0,19000
349,5,80,2,22000
350,3,57,0,22000
351,4,57,2,20990
352,5,60,3,20000
353,3,86,3,35000
354,1,33,4,14900
355,1,35,10,15400
356,1,38,5,12500
357,3,58,9,14990
358,1,37,5,12990
359,1,30,2,23000
360,6,100,6,23000
361,1,44,9,13500
362,5,75,10,19900
363,5,80,9,25999
364,5,122,8,29999
365,5,80,5,18000
366,3,55,9,15000
367,3,56,2,25700
368,5,86,3,25000
369,1,24,7,14000
370,3,59,9,16500
371,1,41,9,11500
372,6,108,2,38000
373,6,62,6,15000
374,3,62,10,15000
375,6,80,4,18000
376,2,41,8,12000
377,5,76,4,19000
378,5,80,8,18000
379,10,150,5,32500
380,7,130,4,20000
381,5,69,4,19000
382,4,59,0,14500
383,5,128,1,55000
384,,200,5,83000
385,7,195,7,75000
386,8,120,7,41500
387,3,92,1,47000
388,4,94,1,40000
389,8,90,1,30000
390,5,91,6,29000
391,6,94,5,42000
392,6,87,2,30000
393,6,107,1,45000
394,4,69,1,31000
395,5,84,5,26000
396,5,73,5,24000
397,2,50,5,18000
398,7,150,3,44000
399,5,128,1,55000
400,8,195,0,75000
401,4,56,2,19900
402,,280,2,89000
403,,200,5,83000
404,3,49,5,20000
405,6,65,4,14000
406,3,64,1,25000
407,3,60,6,17900
408,1,33,3,13999
409,5,79,8,19000
410,7,129,1,55000
411,1,31,0,10500
412,6,115,2,39000
413,1,28,3,15800
414,3,52,4,15000
415,3,93,0,25000
416,6,72,5,19000
417,5,85,3,35000
418,3,82,5,31000
419,1,40,0,12000
420,3,50,2,26000
421,3,46,6,11500
422,4,45,10,11990
423,,200,5,78000
424,5,85,1,29000
425,4,119,1,65000
426,6,104,4,57000
427,6,214,1,100000
428,5,119,1,47935
429,11,19,4,7500
430,7,84,9,22000
431,3,55,4,17200
432,3,62,0,18000
433,3,44,10,12000
434,5,80,2,22000
435,3,59,5,15800
436,4,54,9,13750
437,3,43,0,13750
438,3,42,0,13500
439,6,101,0,22000
440,2,50,0,15000
441,5,122,7,45490
442,3,59,4,16000
443,1,37,9,13300
444,3,60,5,18000
445,2,40,0,12500
446,4,63,0,18000
447,3,56,0,13500
448,1,25,1,13000
449,3,35,7,12000
450,2,39,6,20000
451,1,66,10,13500
452,6,78,5,12500
453,3,53,0,14000
454,1,27,8,11000
455,3,45,1,24000
456,3,62,8,28000
457,1,33,9,13900
458,3,50,0,12000
459,7,115,8,22000
460,1,29,8,8500
461,3,47,9,14500
462,1,28,0,11400
463,2,34,7,17000
464,3,67,10,21900
465,3,50,0,18000
466,3,58,6,23000
467,3,62,6,16000
468,5,90,0,25000
469,1,32,0,14000
470,7,85,8,28000
471,3,58,2,19800
472,3,68,9,14800
473,5,110,5,33000
474,3,64,5,20000
475,8,198,6,65000
476,3,62,10,16000
477,6,87,1,30000
478,3,47,2,28000
479,4,51,10,15000
480,3,56,5,13500
481,3,53,6,13000
482,3,75,3,19000
483,3,45,8,17500
484,3,35,1,16000
485,4,56,2,15000
486,1,45,3,15900
487,4,58,2,17500
488,3,50,3,13900
489,1,40,0,14000
490,3,71,3,22000
491,4,55,3,23000
492,3,56,9,18000
493,1,42,10,16000
494,5,85,0,33000
495,5,85,1,41000
496,3,56,5,14990
497,1,50,10,12000
498,4,49,10,14000
499,3,60,3,20000
500,10,196,2,50000
501,5,90,4,19000
502,3,53,0,16800
503,3,68,0,15000
504,3,46,4,12000
505,5,99,7,29900
506,6,115,5,31500
507,5,145,5,33000
508,1,20,0,11000
509,5,92,10,22000
510,4,78,3,17000
511,3,60,6,19500
512,1,35,8,17000
513,3,52,3,23000
514,5,120,0,16000
515,6,100,2,29000
516,5,117,8,37000
517,5,110,2,26500
518,3,62,5,24990
519,1,30,7,20000
520,4,80,2,22000
521,5,62,6,24000
522,4,54,9,15500
523,3,45,5,14900
524,6,78,5,16000
525,3,68,8,18000
526,3,79,5,15999
527,5,78,4,21318
528,3,71,9,16990
529,5,76,9,27000
530,5,88,5,30000
531,5,94,0,35000
532,5,72,5,19000
533,5,79,3,29000
534,8,240,1,60000
535,3,60,3,15000
536,8,105,8,21900
537,3,47,5,13000
538,3,60,9,15000
539,3,65,6,17000
540,5,80,9,25999
541,2,38,8,12000
542,3,52,7,14000
543,1,37,2,23500
544,1,50,6,22000
545,6,105,2,28000
546,6,100,1,30000
547,8,110,6,29900
548,1,17,4,8000
549,1,39,9,12990
550,2,51,3,14990
551,5,60,2,20990
552,2,38,3,15000
553,3,50,3,12000
554,7,110,2,60000
555,6,118,5,23000
556,4,100,2,25000
557,3,45,8,18500
558,4,43,4,13400
559,4,38,4,12990
560,6,110,2,24000
561,3,53,6,17000
562,3,56,5,19000
563,1,20,10,7500
564,4,51,10,12000
565,8,100,2,36000
566,5,107,2,55000
567,7,157,2,60000
568,1,43,10,12500
569,6,79,4,17500
570,5,83,4,16500
571,6,80,4,17000
572,4,67,4,17500
573,3,53,5,20000
574,6,75,10,22000
575,5,73,2,28000
576,5,71,0,20000
577,3,42,4,17000
578,3,54,9,15000
579,4,68,0,20000
580,1,30,10,9000
581,5,65,3,13000
582,4,50,10,13000
583,3,40,7,14000
584,7,90,10,27000
585,5,65,3,18000
586,4,55,8,16000
587,3,46,7,15000
588,3,50,9,15000
589,5,84,1,41000
590,1,30,4,10500
591,3,44,4,16500
592,5,130,3,30500
593,3,45,2,17000
594,3,67,10,20000
595,5,65,9,19000
596,3,50,3,12000
597,3,64,5,20000
598,5,86,3,35000
599,10,170,2,101500
600,5,113,3,24500
601,5,74,5,18000
602,3,52,0,17300
603,2,30,9,11000
604,6,70,4,22000
605,6,106,7,25000
606,3,45,2,15500
607,3,49,6,13000
608,4,78,10,15500
609,3,55,2,18000
610,1,40,4,14000
611,3,44,0,18000
612,3,56,0,18000
613,3,48,0,20000
614,5,69,4,17000
615,6,82,4,16500
616,6,80,4,18000
617,5,108,2,31000
618,6,60,4,16000
619,5,100,5,28000
620,9,145,5,55000
621,10,202,2,105000
622,1,26,9,10000
623,3,44,3,20000
624,3,54,6,16500
625,3,44,4,13500
626,4,54,6,16000
627,4,65,6,13000
628,3,45,1,30000
629,8,120,6,39900
630,3,48,3,12900
631,4,40,0,14500
632,3,40,10,13000
633,2,38,8,11500
634,8,142,2,87000
635,6,135,2,48000
636,7,150,8,65000
637,5,108,2,60000
638,7,137,6,59000
639,5,120,6,50000
640,8,168,7,76860
641,10.0,193.0,5.0,
642,5,100,1,55000
643,5,174,2,61000
644,7,150,6,50000
645,9,165,6,66000
646,10,202,2,105000
647,6,160,1,90000
648,10,182,4,55000
649,9,210,2,90000
650,10,170,2,101199
651,6,130,1,55000
652,6,73,4,20900
653,3,62,10,18000
654,8,120,9,26000
655,1,49,0,23000
656,3,68,0,20000
657,6,69,4,17000
658,5,100,0,29600
659,5,107,5,22000
660,4,57,3,13500
661,3,65,0,23000
662,4,50,10,13500
663,3,54,3,13900
664,3,57,0,18900
665,5,112,5,30000
666,1,32,7,12000
667,3,45,5,10000
668,6,70,6,20000
669,6,76,0,16000
670,3,48,0,19000
671,1,35,5,11500
672,5,58,4,15000
673,4,55,4,17000
674,4,54,0,15000
675,7,85,8,28000
676,5,113,3,24500
677,3,55,2,25000
678,8,124,0,25000
679,3,42,1,13000
680,3,40,2,20000
681,3,40,0,6900
682,6,98,2,33500
683,5,143,5,38000
684,3,67,0,35000
685,2,27,0,9500
686,4,64,0,15000
687,2,35,0,15000
688,3,50,0,9400
689,5,67,0,19000
690,4,45,0,14500
691,3,45,0,18000
692,1,13,4,7000
693,1,37,10,12000
694,2,40,8,10000
695,2,43,1,14000
696,4,80,6,19000
697,1,29,0,12900
698,4,50,10,13000
699,5,170,1,45000
700,3,50,0,19700
701,4,80,4,24000
702,2,35,1,13000
703,,200,2,42000
704,3,77,5,20000
705,3,111,1,20000
706,1,50,4,13500
707,1,20,0,11000
708,3,53,3,22900
709,1,30,9,11500
710,1,20,9,11000
711,3,40,4,9600
712,1,25,0,12500
713,4,63,5,15570
714,4,96,1,24000
715,2,36,4,11000
716,6,122,1,31000
717,3,50,10,13000
718,1,35,4,12000
719,2,37,0,9000
720,3,62,3,17000
721,3,61,0,16000
722,1,44,4,12998
723,11,30,4,5900
724,1,33,4,11000
725,1,27,4,11000
726,11,40,4,6300
727,3,60,10,16500
728,3,71,10,14750
729,5,62,9,16000
730,6,83,3,24000
731,1,20,0,13500
732,4,50,4,10800
733,1,30,10,11000
734,,209,5,83000
735,10,203,5,78000
736,4,55,2,26000
737,3,42,2,15000
738,4,52,1,18000
739,4,59,7,19500
740,1,34,5,12500
741,3,47,2,20000
742,1,47,0,21000
743,3,63,9,13000
744,7,90,3,29900
745,1,46,5,13000
746,3,50,5,18500
747,5,75,3,20000
748,3,45,10,14000
749,6,91,10,22000
750,3,45,10,14000
751,4,50,9,14500
752,7,135,3,89891
753,5,80,5,19000
754,3,53,6,16000
755,3,60,9,19800
756,3,67,5,22000
757,1,35,10,9000
758,5,122,2,45000
759,1,52,10,16000
760,5,80,5,18000
761,3,44,9,13500
762,3,65,5,15000
763,5,68,5,16500
764,4,55,6,10500
765,3,74,8,18000
766,1,51,5,27000
767,4,53,4,15000
768,7,134,3,89800
769,6,100,1,40000
770,1,29,5,12000
771,1,33,4,12500
772,3,41,0,17000
773,9,197,1,100000
774,10,220,1,95000
775,7,203,1,90000
776,8,136,1,44750
777,3,66,1,35000
778,5,90,8,34000
779,1,48,3,15000
780,5,85,8,36000
781,3,66,3,20000
782,3,52,1,23000
783,1,33,5,13000
784,5,85,8,37000
785,5,85,8,38000
786,3,44,9,11500
787,5,69,1,31000
788,1,35,4,16000
789,5,85,2,28000
790,5,75,2,38000
791,5,90,5,26000
792,5,56,2,42000
793,3,65,1,27000
794,3,86,2,44700
795,1,35,2,23200
796,7,144,5,50000
797,3,66,2,27000
798,2,45,2,21000
799,5,85,8,39000
800,3,46,5,14500
801,2,41,3,17000
802,3,50,1,18000
803,1,49,9,13000
804,3,52,9,18000
805,3,62,3,19900
806,1,29,10,10000
807,5,62,4,15000
808,3,110,5,45000
809,3,56,5,32000
810,8,142,9,32000
811,5,93,4,23900
812,7,128,6,36000
813,3,60,5,14990
814,8,129,6,40500
815,6,100,2,35000
816,5,140,8,27000
817,6,100,8,22000
818,3,42,8,14500
819,4,76,2,26000
820,6,90,2,34400
821,6,115,2,40000
822,4,59,3,15000
823,3,43,8,19700
824,2,40,3,13000
825,5,73,8,14500
826,3,60,5,19000
827,2,40,2,13500
828,3,50,1,22000
829,6,115,1,48000
830,5,63,4,17000
831,7,114,5,24000
832,7,111,9,24000
833,1,13,3,11900
834,1,48,2,17000
835,1,51,5,27000
836,3,67,5,38000
837,5,70,5,19000
838,3,64,2,36400
839,4,78,1,26000
840,3,51,5,14900
841,4,50,6,16100
842,3,62,5,16500
843,3,96,6,23000
844,4,68,6,19500
845,8,100,2,33000
846,4,82,2,21000
847,6,92,6,20000
848,10,220,1,95000
849,5,70,5,25500
850,5,102,2,32000
851,12.0,66.0,2.0,
852,5,80,2,52000
853,6,110,1,29000
854,8,200,1,35000
855,3,60,9,25000
856,5,94,5,40000
857,10,197,1,100000
858,8,203,1,90000
859,5,105,2,29950
860,8,136,1,44750
861,1,32,5,13900
862,6,70,4,24000
863,2,42,4,13400
864,4,71,5,28000
865,3,43,5,15000
866,6,115,1,52000
867,7,181,5,75000
868,3,80,1,32500
869,6,105,5,30000
870,6,75,5,17500
871,10,193,5,110000
872,1,48,1,23000
873,4,87,2,25000
874,6,98,2,33500
875,3.0,53.0,5.0,
876,5.0,81.0,5.0,
877,5,140,8,27000
878,3.0,45.0,0.0,
879,5,93,5,25000
880,1,35,5,12500
881,7,185,5,66000
882,5,77,5,29400
883,7,120,6,42000
884,10,189,1,90000
885,3,45,3,18000
886,4,105,1,37000
887,10,240,6,75000
888,4,96,1,24000
889,6,110,1,45000
890,6,85,4,20000
891,7,130,0,60000
892,8,152,7,34000
893,5,138,5,32000
894,7,229,5,37000
895,1,34,5,15900
896,1,35,5,15000
897,3,47,5,21000
898,3,53,5,19900
899,3,65,1,35000
900,5,73,5,26900
901,8,100,6,32000
902,10,240,6,54000
903,,269,6,90000
904,3,68,1,30000
905,6,90,7,25000
906,1,33,10,10000
907,3,51,4,18000
908,3,50,2,20500
909,4,86,2,22500
910,4,63,0,13500
911,5,113,3,24500
912,3,51,0,14800
913,6,100,0,39000
914,4,80,0,27900
915,4,89,0,18000
916,3,51,0,14900
917,2,55,4,13500
918,3,55,4,13500
919,4,80,3,18700
920,3,47,4,12000
921,5,81,0,17500
922,5,138,0,21000
923,1,38,10,14000
924,3,42,4,12500
925,1,32,0,10900
926,3,58,4,13500
927,6,83,3,24000
928,3,58,5,17000
929,1,70,5,19000
930,3,50,4,18900
931,3,63,4,20000
932,3,71,7,28000
933,5,78,3,19701
934,4,68,0,15000
935,3,60,2,19500
936,5,95,10,22000
937,4,55,3,18000
938,3,54,6,13900
939,3,36,8,15000
940,3,46,10,19000
941,6,86,1,21000
942,8,105,6,25000
943,6,76,5,15000
944,3,65,3,18000
945,11,21,4,8000
946,1,52,5,20000
947,3,60,3,19000
948,5,82,8,28000
949,1,31,9,11490
950,3,51,3,18500
951,3,53,2,20500
952,5,70,5,21000
953,5,122,6,44000
954,3,56,2,18500
955,5,147,3,59799
956,6,91,2,29000
957,3,50,4,17900
958,5,78,6,27000
959,7,124,5,45000
960,1,23,0,9500
961,5,74,4,23000
962,5,117,4,80000
963,8,127,2,58000
964,5,91,6,38000
965,5,88,4,27500
966,4,67,3,17000
967,3,47,4,16900
968,1,26,10,11500
969,5,97,0,22000
970,3,55,9,14500
971,3,45,5,13500
972,5,113,3,24500
